Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dashboard,11,0,21,28.043199997310612,15.461100032553077,50.3668999299407,12893.0,0.6096713260843811,0.0,21,33,41,41,50,50,50,50,50,50,50
GET,/dashboard?page=2&per_page=5,3,0,20,26.57096666128685,17.57039991207421,41.69380001258105,9014.0,0.16627399802301304,0.0,20,20,42,42,42,42,42,42,42,42,42
GET,/dashboard?q=London,3,0,25,33.24313333723694,17.758200061507523,57.01630003750324,7964.0,0.16627399802301304,0.0,25,25,57,57,57,57,57,57,57,57,57
GET,/login,1,0,52.70330002531409,52.70330002531409,52.70330002531409,52.70330002531409,2569.0,0.055424666007671014,0.0,53,53,53,53,53,53,53,53,53,53,53
POST,/login,1,0,410.6224999995902,410.6224999995902,410.6224999995902,410.6224999995902,13170.0,0.055424666007671014,0.0,410,410,410,410,410,410,410,410,410,410,410
,Aggregated,19,0,23,50.06543684162592,15.461100032553077,410.6224999995902,10973.473684210527,1.0530686541457492,0.0,23,41,50,50,57,410,410,410,410,410,410
