Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dashboard,66,6,31,38.57387120616763,11.139899957925081,218.69030001107603,11767.181818181818,2.8665919180815815,0.26059926528014377,34,41,46,48,58,74,130,220,220,220,220
GET,/dashboard?page=2&per_page=5,13,2,31,38.32965384488209,14.125199988484383,96.42700001131743,7705.538461538462,0.5646317414403116,0.08686642176004793,31,39,43,64,68,96,96,96,96,96,96
GET,/dashboard?q=London,28,4,40,38.30286428066237,10.857900022529066,79.68009996693581,6899.0,1.216129904640671,0.17373284352009585,40,43,57,57,68,71,80,80,80,80,80
GET,/login,5,0,26,25.570739968679845,15.682899975217879,34.11649994086474,2569.0,0.21716605440011982,0.0,26,31,31,34,34,34,34,34,34,34,34
POST,/login,5,0,470,531.5641400171444,445.9725000197068,747.4326000083238,13170.0,0.21716605440011982,0.0,470,540,540,750,750,750,750,750,750,750,750
,Aggregated,117,12,34,58.99415042203589,10.857900022529066,747.4326000083238,9817.71794871795,5.081685672962804,0.5211985305602875,34,43,47,55,71,220,470,540,750,750,750
