Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dashboard,229,213,27,41.326793012367844,6.050499971024692,204.01320001110435,1286.6069868995633,10.276035648045982,9.558059358226174,27,39,49,60,110,140,160,180,200,200,200
GET,/dashboard?page=2&per_page=5,65,58,24,42.90675383705933,6.110699963755906,186.53829989489168,1424.923076923077,2.916778677392964,2.6026640505967986,24,44,68,74,100,130,160,190,190,190,190
GET,/dashboard?q=London,107,96,25,44.80130468042585,5.599500029347837,185.20740000531077,1227.6728971962616,4.801466438169956,4.307857738918839,25,45,61,69,120,130,180,180,190,190,190
GET,/login,20,9,78,73.25812501949258,32.42950001731515,98.4593000030145,1642.0,0.8974703622747582,0.4038616630236412,80,87,94,94,97,98,98,98,98,98,98
POST,/login,20,15,64,214.64222001377493,44.65349996462464,718.6183000449091,3497.85,0.8974703622747582,0.6731027717060686,67,81,610,640,700,720,720,720,720,720,720
,Aggregated,441,391,30,51.710932201161015,5.599500029347837,718.6183000449091,1409.095238095238,19.789221488158418,17.545545582471522,30,49,62,72,110,150,190,610,720,720,720
