Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dashboard,138,119,16,24.282207248556983,7.099399925209582,140.98120003473014,2021.2608695652175,5.152989826526838,4.4435202127296645,16,22,27,31,53,66,100,130,140,140,140
GET,/dashboard?page=2&per_page=5,33,27,23,30.69086667771141,8.53529991582036,110.73249997571111,1682.3333333333333,1.2322366976477221,1.0081936617117726,23,34,44,45,48,100,110,110,110,110,110
GET,/dashboard?q=London,71,62,15,20.310428170618458,8.458699914626777,63.33529995754361,1310.1408450704225,2.651175925242069,2.3151113713381446,15,18,27,32,39,54,61,63,63,63,63
GET,/login,10,2,43,44.82583001954481,19.014399964362383,66.84919993858784,2157.0,0.3734050598932491,0.07468101197864983,48,57,60,67,67,67,67,67,67,67,67
POST,/login,10,7,26,148.76110000768676,15.69289993494749,471.42419998999685,4734.1,0.3734050598932491,0.2613835419252744,29,46,390,450,470,470,470,470,470,470,470
,Aggregated,262,217,16,29.548293515463993,7.099399925209582,471.42419998999685,1894.5877862595419,9.783212569203128,8.102889799683506,17,24,31,37,54,66,110,390,470,470,470
