Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788897872,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1788897873,2,,Aggregated,0.000000,0.000000,220,220,540,540,750,750,750,750,750,750,750,6,0,37,265.30839999516803,21.385899977758527,747.4326000083238,9544.0
1788897874,4,,Aggregated,0.000000,0.000000,43,220,450,470,540,750,750,750,750,750,750,13,0,43,207.21589231218857,21.385899977758527,747.4326000083238,9801.615384615385
1788897875,5,,Aggregated,6.000000,0.000000,43,57,220,450,470,540,750,750,750,750,750,21,0,43,162.03815238882922,15.682899975217879,747.4326000083238,10266.142857142857
1788897876,5,,Aggregated,6.000000,0.000000,37,55,60,450,470,540,750,750,750,750,750,25,0,37,140.44836000539362,15.682899975217879,747.4326000083238,10334.12
1788897877,5,,Aggregated,6.666667,0.000000,31,43,57,220,470,540,750,750,750,750,750,30,0,29,120.8743733392718,15.682899975217879,747.4326000083238,10502.0
1788897878,5,,Aggregated,6.666667,0.000000,29,43,55,60,460,540,750,750,750,750,750,34,0,27,109.66022647506394,15.682899975217879,747.4326000083238,10638.323529411764
1788897879,5,,Aggregated,6.250000,0.000000,34,43,57,70,460,540,750,750,750,750,750,39,0,34,102.32181282331928,15.682899975217879,747.4326000083238,10701.538461538461
1788897880,5,,Aggregated,5.666667,0.000000,31,43,57,70,450,470,750,750,750,750,750,44,0,29,94.33322272856127,15.682899975217879,747.4326000083238,10838.545454545454
1788897881,5,,Aggregated,5.666667,0.000000,30,43,55,68,450,470,750,750,750,750,750,50,0,29,86.95984199875966,14.125199988484383,747.4326000083238,10831.34
1788897882,5,,Aggregated,5.375000,0.000000,31,41,53,60,220,470,540,750,750,750,750,54,0,31,83.32842037176576,14.125199988484383,747.4326000083238,10820.944444444445
1788897883,5,,Aggregated,5.555556,0.000000,34,43,55,60,220,470,540,750,750,750,750,58,0,31,80.73573103294997,14.125199988484383,747.4326000083238,10727.0
1788897884,5,,Aggregated,5.200000,0.000000,31,43,53,57,80,460,540,750,750,750,750,64,0,31,76.04655312024988,14.125199988484383,747.4326000083238,10853.046875
1788897885,5,,Aggregated,5.100000,0.000000,31,43,53,57,80,460,540,750,750,750,750,68,0,31,73.91206175944878,14.125199988484383,747.4326000083238,10843.514705882353
1788897886,5,,Aggregated,5.000000,0.000000,34,43,48,55,74,460,540,750,750,750,750,75,0,34,70.82516799370448,14.125199988484383,747.4326000083238,10917.36
1788897887,5,,Aggregated,4.700000,0.000000,34,42,47,55,74,460,540,750,750,750,750,79,0,34,68.49824050087717,14.125199988484383,747.4326000083238,10955.0
1788897888,5,,Aggregated,4.700000,0.000000,35,43,47,55,71,450,540,750,750,750,750,85,0,35,67.22920234589016,14.125199988484383,747.4326000083238,10859.847058823529
1788897889,5,,Aggregated,4.800000,0.000000,37,44,48,57,74,450,540,750,750,750,750,90,0,35,66.9679299941183,14.125199988484383,747.4326000083238,10863.266666666666
1788897890,5,,Aggregated,4.800000,0.000000,37,44,52,57,75,450,540,750,750,750,750,94,0,35,66.35247978153936,14.125199988484383,747.4326000083238,10908.372340425532
1788897891,5,,Aggregated,4.900000,0.000000,35,43,48,57,74,220,470,540,750,750,750,101,0,35,64.00098415243781,14.125199988484383,747.4326000083238,10899.514851485148
1788897892,5,,Aggregated,4.900000,0.000000,35,43,48,57,74,220,470,540,750,750,750,104,0,35,62.871789417560926,14.125199988484383,747.4326000083238,10909.625
1788897893,5,,Aggregated,5.100000,0.000000,34,43,47,55,74,220,470,540,750,750,750,108,3,34,61.37674351231436,11.139899957925081,747.4326000083238,10593.444444444445
1788897894,5,,Aggregated,4.800000,0.000000,34,43,48,55,71,220,470,540,750,750,750,113,8,34,60.36805132181441,10.857900022529066,747.4326000083238,10147.230088495575
1788897895,5,,Aggregated,5.100000,0.300000,34,43,47,55,71,220,470,540,750,750,750,117,12,34,58.99415042203589,10.857900022529066,747.4326000083238,9817.71794871795
